title,asin,category,rank,new+AF8-price1,new+AF8-price2
LifeStraw Personal Water Filter,B006QF3TW4,All Electronics,+ACM-2,+ACQ-19.86,+ACQ-19.93
Fujifilm INSTAX Mini Instant Film Twin Pack (White),B00EB4ADQW,All Electronics,+ACM-1,+ACQ-12.48,+ACQ-7.98
+ACI-SanDisk Ultra 32GB microSDHC UHS+AC0-I Card with Adapter, Grey/Red, Standard Packaging (SDSQUNC+AC0-032G+AC0-GN6MA)+ACI-,B010Q57T02,All Electronics,+ACM-3,+ACQ-11.74,+ACQ-12.35
+ACI-Fitbit Blaze Smart Fitness Watch, Black, Silver, Large+ACI-,B019VM3CPW,All Electronics,+ACM-98,+ACQ-196.82,+ACQ-199.95
Apple EarPods with Remote and Mic,B0097BEG1C,All Electronics,+ACM-2,+ACQ-10.30,+ACQ-10.31
+ACI-Quest Nutrition Protein Bar, Chocolate Chip Cookie Dough, 21g Protein, 2.1oz Bar, 12 Count+ACI-,B00DLDH1N2,All Electronics,+ACM-20,+ACQ-24.49,+ACQ-24.49
+ACI-Fitbit Flex Wireless Activity  Sleep Wristband, Black+ACI-,B00BGO0Q9O,All Electronics,+ACM-48,+ACQ-77.98,+ACQ-79.00
Samsung 850 EVO 250GB 2.5+AC0-Inch SATA III Internal SSD (MZ+AC0-75E250B/AM),B00OAJ412U,All Electronics,+ACM-2,+ACQ-85.49,+ACQ-85.99
+ACI-SanDisk Ultra 64GB microSDXC UHS+AC0-I Card with Adapter, Grey/Red, Standard Packaging (SDSQUNC+AC0-064G+AC0-GN6MA)+ACI-,B010Q588D4,All Electronics,+ACM-1,+ACQ-13.48,+ACQ-11.00
+ACI-Western Digital 1TB My Passport Ultra USB 3.0 Secure Portable External Hard Drive, Black (WDBGPU0010BBK+AC0-NESN)+ACI-,B00W8XXRPM,All Electronics,+ACM-1,+ACQ-57.50,+ACQ-59.00
+ACI-Fitbit Alta Fitness Tracker, Silver/Black, Small+ACI-,B01B25PKB0,All Electronics,+ACM-38,+ACQ-129.00,+ACQ-129.95
Samsung 850 EVO 500GB 2.5+AC0-Inch SATA III Internal SSD (MZ+AC0-75E500B/AM),B00OBRE5UE,All Electronics,+ACM-1,+ACQ-142.99,+ACQ-142.99
+ACI-Fitbit Charge HR Wireless Activity Wristband, Black, Large+ACI-,B00N2BW2PK,All Electronics,+ACM-10,+ACQ-123.37,+ACQ-128.87
PlayStation 4 500GB Console +AC0- Call of Duty Black Ops III Bundle,B018V3ISJ2,All Electronics,+ACM-23,+ACQ-328.39,+ACQ-323.98
+ACI-Fitbit Charge HR Wireless Activity Wristband, Plum, Large+ACI-,B00N2BW9BW,All Electronics,+ACM-54,+ACQ-121.49,+ACQ-121.49
Microsoft Xbox LIVE 12 Month Gold Membership,B00EQNP8F4,Gift Cards,+ACM-54,+ACQ-48.46,+ACQ-48.46
SanDisk 32 GB micro SD Memory Card for All+AC0-New Fire Tablets and All+AC0-New Fire TV,B013TMNKAW,Amazon Devices,+ACM-1,+ACQ-8.70,+ACQ-11.87
SanDisk 64 GB micro SD Memory Card for All+AC0-New Fire Tablets and All+AC0-New Fire TV,B013TMNNDQ,Amazon Devices,+ACM-2,+ACQ-16.85,+ACQ-19.99
